0,300,400,500,600,700,800,900,1000,1100,1200
15,1,0.98,0.93,0.88,0.84,0.8,0.77,0.74,0.72,0.7
20,1,0.98,0.93,0.88,0.84,0.8,0.77,0.74,0.72,0.7
40,1,0.99,0.93,0.88,0.84,0.81,0.77,0.74,0.72,0.7
60,1,0.99,0.93,0.88,0.84,0.81,0.77,0.75,0.72,0.7
80,1,0.99,0.93,0.88,0.84,0.81,0.77,0.75,0.72,0.7
100,1,0.99,0.94,0.89,0.84,0.81,0.77,0.75,0.72,0.7
120,1,0.99,0.94,0.89,0.84,0.81,0.78,0.75,0.72,0.7
140,1,0.99,0.94,0.89,0.85,0.81,0.78,0.75,0.72,0.7
160,1,0.99,0.94,0.89,0.85,0.81,0.78,0.75,0.72,0.7
180,1,0.99,0.94,0.89,0.85,0.81,0.78,0.75,0.72,0.7
200,1,0.99,0.95,0.89,0.85,0.81,0.78,0.75,0.72,0.7
220,1,0.99,0.95,0.89,0.85,0.81,0.78,0.75,0.72,0.7
240,0,1,0.95,0.9,0.85,0.81,0.78,0.75,0.72,0.7
260,0,1,0.95,0.9,0.85,0.81,0.78,0.75,0.72,0.7
280,0,1,0.96,0.9,0.85,0.81,0.78,0.75,0.72,0.7
300,0,1,0.96,0.9,0.85,0.81,0.78,0.75,0.72,0.7
350,0,1,0.96,0.9,0.86,0.82,0.78,0.75,0.72,0.7
400,0,1,0.96,0.91,0.86,0.82,0.78,0.75,0.72,0.7
500,0,1,0.96,0.92,0.86,0.82,0.78,0.75,0.73,0.7
600,0,1,0.97,0.92,0.87,0.82,0.79,0.75,0.73,0.7
800,0,0,1,0.95,0.88,0.83,0.79,0.76,0.73,0.7
1000,0,0,1,0.96,0.89,0.84,0.78,0.76,0.73,0.71
1250,0,0,1,0.97,0.91,0.85,0.8,0.77,0.74,0.71
1500,0,0,0,1,0.93,0.86,0.81,0.77,0.74,0.71
1750,0,0,0,1,0.94,0.86,0.81,0.77,0.73,0.7
2000,0,0,0,1,0.95,0.86,0.8,0.76,0.72,0.69
2500,0,0,0,1,0.95,0.85,0.78,0.73,0.69,0.66
3000,0,0,0,0,1,0.82,0.74,0.69,0.65,0.62
